expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,session_start_time,stimuli_presented,trial_duration,trial_num,trial_template
64f35663abb040f67b21100b,default,0,662937ce0df27bacdaea0d27e5ccd72d18ed77bfe6af9b74148339b0c5e38509,1216.445890903473,False,click,testRsp,1980,[],choice-response,In time,64ff6375220cf18479301574,2023-09-11 14:59:00-04:00,lab8_30,7694,65,maintaskTrials
64f35663abb040f67b21100b,default,0,662937ce0df27bacdaea0d27e5ccd72d18ed77bfe6af9b74148339b0c5e38509,1216.445890903473,False,click,testRsp,479,[],choice-response,In time,64ff6375220cf18479301574,2023-09-11 14:59:00-04:00,lab1_0,6190,66,maintaskTrials
64f35663abb040f67b21100b,default,0,662937ce0df27bacdaea0d27e5ccd72d18ed77bfe6af9b74148339b0c5e38509,1216.445890903473,False,click,testRsp,4084,[],choice-response,In time,64ff6375220cf18479301574,2023-09-11 14:59:00-04:00,lab8_90,9800,67,maintaskTrials
64f35663abb040f67b21100b,default,0,662937ce0df27bacdaea0d27e5ccd72d18ed77bfe6af9b74148339b0c5e38509,1216.445890903473,False,click,testRsp,459,[],choice-response,Out of time,64ff6375220cf18479301574,2023-09-11 14:59:00-04:00,tone1_120,6174,68,maintaskTrials
64f35663abb040f67b21100b,default,0,662937ce0df27bacdaea0d27e5ccd72d18ed77bfe6af9b74148339b0c5e38509,1216.445890903473,False,click,testRsp,1277,[],choice-response,Out of time,64ff6375220cf18479301574,2023-09-11 14:59:00-04:00,add8_90,6996,69,maintaskTrials
64f35663abb040f67b21100b,default,0,662937ce0df27bacdaea0d27e5ccd72d18ed77bfe6af9b74148339b0c5e38509,1216.445890903473,False,click,testRsp,10072,[],choice-response,Out of time,64ff6375220cf18479301574,2023-09-11 14:59:00-04:00,add1_90,15790,70,maintaskTrials
64f35663abb040f67b21100b,default,0,662937ce0df27bacdaea0d27e5ccd72d18ed77bfe6af9b74148339b0c5e38509,1216.445890903473,False,click,testRsp,487,[],choice-response,In time,64ff6375220cf18479301574,2023-09-11 14:59:00-04:00,add8_60,6194,71,maintaskTrials
64f35663abb040f67b21100b,default,0,662937ce0df27bacdaea0d27e5ccd72d18ed77bfe6af9b74148339b0c5e38509,1216.445890903473,False,click,testRsp,1667,[],choice-response,In time,64ff6375220cf18479301574,2023-09-11 14:59:00-04:00,tone1_30,7384,72,maintaskTrials
64f35663abb040f67b21100b,default,0,662937ce0df27bacdaea0d27e5ccd72d18ed77bfe6af9b74148339b0c5e38509,1216.445890903473,False,click,testRsp,689,[],choice-response,Out of time,64ff6375220cf18479301574,2023-09-11 14:59:00-04:00,tone8_120,6411,73,maintaskTrials
64f35663abb040f67b21100b,default,0,662937ce0df27bacdaea0d27e5ccd72d18ed77bfe6af9b74148339b0c5e38509,1216.445890903473,False,click,testRsp,820,[],choice-response,Out of time,64ff6375220cf18479301574,2023-09-11 14:59:00-04:00,lab8_120,6539,74,maintaskTrials
64f35663abb040f67b21100b,default,0,662937ce0df27bacdaea0d27e5ccd72d18ed77bfe6af9b74148339b0c5e38509,1216.445890903473,False,click,testRsp,964,[],choice-response,In time,64ff6375220cf18479301574,2023-09-11 14:59:00-04:00,tone8_30,6685,75,maintaskTrials
64f35663abb040f67b21100b,default,0,662937ce0df27bacdaea0d27e5ccd72d18ed77bfe6af9b74148339b0c5e38509,1216.445890903473,False,click,testRsp,542,[],choice-response,In time,64ff6375220cf18479301574,2023-09-11 14:59:00-04:00,tone8_0,6261,76,maintaskTrials
64f35663abb040f67b21100b,default,0,662937ce0df27bacdaea0d27e5ccd72d18ed77bfe6af9b74148339b0c5e38509,1216.445890903473,False,click,testRsp,510,[],choice-response,In time,64ff6375220cf18479301574,2023-09-11 14:59:00-04:00,tone1_60,6229,77,maintaskTrials
64f35663abb040f67b21100b,default,0,662937ce0df27bacdaea0d27e5ccd72d18ed77bfe6af9b74148339b0c5e38509,1216.445890903473,False,click,testRsp,782,[],choice-response,In time,64ff6375220cf18479301574,2023-09-11 14:59:00-04:00,add8_30,6505,78,maintaskTrials
64f35663abb040f67b21100b,default,0,662937ce0df27bacdaea0d27e5ccd72d18ed77bfe6af9b74148339b0c5e38509,1216.445890903473,False,click,testRsp,1369,[],choice-response,In time,64ff6375220cf18479301574,2023-09-11 14:59:00-04:00,lab1_30,7088,79,maintaskTrials
64f35663abb040f67b21100b,default,0,662937ce0df27bacdaea0d27e5ccd72d18ed77bfe6af9b74148339b0c5e38509,1216.445890903473,False,click,testRsp,767,[],choice-response,In time,64ff6375220cf18479301574,2023-09-11 14:59:00-04:00,add8_0,6487,80,maintaskTrials
64f35663abb040f67b21100b,default,0,662937ce0df27bacdaea0d27e5ccd72d18ed77bfe6af9b74148339b0c5e38509,1216.445890903473,False,click,testRsp,7265,[],choice-response,Out of time,64ff6375220cf18479301574,2023-09-11 14:59:00-04:00,lab1_90,12986,81,maintaskTrials
64f35663abb040f67b21100b,default,0,662937ce0df27bacdaea0d27e5ccd72d18ed77bfe6af9b74148339b0c5e38509,1216.445890903473,False,click,testRsp,853,[],choice-response,In time,64ff6375220cf18479301574,2023-09-11 14:59:00-04:00,tone1_0,6572,82,maintaskTrials
64f35663abb040f67b21100b,default,0,662937ce0df27bacdaea0d27e5ccd72d18ed77bfe6af9b74148339b0c5e38509,1216.445890903473,False,click,testRsp,1708,[],choice-response,In time,64ff6375220cf18479301574,2023-09-11 14:59:00-04:00,add1_60,7443,83,maintaskTrials
64f35663abb040f67b21100b,default,0,662937ce0df27bacdaea0d27e5ccd72d18ed77bfe6af9b74148339b0c5e38509,1216.445890903473,False,click,testRsp,585,[],choice-response,In time,64ff6375220cf18479301574,2023-09-11 14:59:00-04:00,lab1_0,6298,84,maintaskTrials
64f35663abb040f67b21100b,default,0,662937ce0df27bacdaea0d27e5ccd72d18ed77bfe6af9b74148339b0c5e38509,1216.445890903473,False,click,testRsp,2272,[],choice-response,In time,64ff6375220cf18479301574,2023-09-11 14:59:00-04:00,tone1_90,8004,85,maintaskTrials
64f35663abb040f67b21100b,default,0,662937ce0df27bacdaea0d27e5ccd72d18ed77bfe6af9b74148339b0c5e38509,1216.445890903473,False,click,testRsp,559,[],choice-response,Out of time,64ff6375220cf18479301574,2023-09-11 14:59:00-04:00,add8_120,6281,86,maintaskTrials
64f35663abb040f67b21100b,default,0,662937ce0df27bacdaea0d27e5ccd72d18ed77bfe6af9b74148339b0c5e38509,1216.445890903473,False,click,testRsp,1002,[],choice-response,Out of time,64ff6375220cf18479301574,2023-09-11 14:59:00-04:00,add1_120,6717,87,maintaskTrials
64f35663abb040f67b21100b,default,0,662937ce0df27bacdaea0d27e5ccd72d18ed77bfe6af9b74148339b0c5e38509,1216.445890903473,False,click,testRsp,2331,[],choice-response,Out of time,64ff6375220cf18479301574,2023-09-11 14:59:00-04:00,tone8_90,8051,88,maintaskTrials
64f35663abb040f67b21100b,default,0,662937ce0df27bacdaea0d27e5ccd72d18ed77bfe6af9b74148339b0c5e38509,1216.445890903473,False,click,testRsp,547,[],choice-response,In time,64ff6375220cf18479301574,2023-09-11 14:59:00-04:00,tone8_60,6268,89,maintaskTrials
64f35663abb040f67b21100b,default,0,662937ce0df27bacdaea0d27e5ccd72d18ed77bfe6af9b74148339b0c5e38509,1216.445890903473,False,click,testRsp,624,[],choice-response,Out of time,64ff6375220cf18479301574,2023-09-11 14:59:00-04:00,lab1_120,6328,90,maintaskTrials
64f35663abb040f67b21100b,default,0,662937ce0df27bacdaea0d27e5ccd72d18ed77bfe6af9b74148339b0c5e38509,1216.445890903473,False,click,testRsp,564,[],choice-response,In time,64ff6375220cf18479301574,2023-09-11 14:59:00-04:00,lab8_0,6284,91,maintaskTrials
64f35663abb040f67b21100b,default,0,662937ce0df27bacdaea0d27e5ccd72d18ed77bfe6af9b74148339b0c5e38509,1216.445890903473,False,click,testRsp,856,[],choice-response,In time,64ff6375220cf18479301574,2023-09-11 14:59:00-04:00,add1_30,6581,92,maintaskTrials
