,Shorter
0,0.6666666666666666
1,0.5104166666666666
2,0.5416666666666666
3,0.34375
4,0.34375
5,0.3541666666666667
6,0.15625
7,0.15625
8,0.1875
9,0.3645833333333333
10,0.4895833333333333
11,0.4791666666666667
12,0.3645833333333333
13,0.4166666666666667
14,0.3541666666666667
15,0.041666666666666664
16,0.041666666666666664
17,0.010416666666666666
18,0.4270833333333333
19,0.3958333333333333
20,0.3958333333333333
21,0.3645833333333333
22,0.3854166666666667
23,0.4791666666666667
24,0.16666666666666666
25,0.125
26,0.17708333333333334
27,0.3333333333333333
28,0.28125
29,0.3125
30,0.78125
31,0.7916666666666666
32,0.8020833333333334
33,0.34375
34,0.3854166666666667
35,0.4270833333333333
36,0.2708333333333333
37,0.3125
38,0.3020833333333333
39,0.14583333333333334
40,0.11458333333333333
41,0.08333333333333333
42,0.53125
43,0.5729166666666666
44,0.5625
45,0.375
46,0.3333333333333333
47,0.375
48,0.22916666666666666
49,0.19791666666666666
50,0.3645833333333333
51,0.375
52,0.3229166666666667
53,0.3125
54,0.3958333333333333
55,0.4270833333333333
56,0.3958333333333333
57,0.15625
58,0.15625
59,0.17708333333333334
60,0.3333333333333333
61,0.3645833333333333
62,0.3125
63,0.0
64,0.0
65,0.0
66,0.375
67,0.2916666666666667
68,0.4375
69,0.21875
70,0.16666666666666666
71,0.20833333333333334
72,0.6145833333333334
73,0.5833333333333334
74,0.5729166666666666
75,0.20833333333333334
76,0.22916666666666666
77,0.1875
78,0.625
79,0.4895833333333333
80,0.7083333333333334
81,0.3125
82,0.3645833333333333
83,0.3854166666666667
84,0.28125
85,0.2604166666666667
86,0.25
87,0.23958333333333334
88,0.22916666666666666
89,0.28125
90,0.4791666666666667
91,0.3958333333333333
92,0.3333333333333333
93,0.3645833333333333
94,0.3645833333333333
95,0.3333333333333333
96,0.25
97,0.20833333333333334
98,0.2708333333333333
99,0.2604166666666667
100,0.23958333333333334
101,0.22916666666666666
102,0.3541666666666667
103,0.375
104,0.375
105,0.3333333333333333
106,0.40625
107,0.34375
108,0.34375
109,0.34375
110,0.2916666666666667
111,0.375
112,0.3645833333333333
113,0.3541666666666667
114,0.4375
115,0.4270833333333333
116,0.4270833333333333
117,0.23958333333333334
118,0.28125
119,0.3333333333333333
120,0.3854166666666667
121,0.375
122,0.4166666666666667
123,0.3645833333333333
124,0.40625
125,0.4270833333333333
126,0.3645833333333333
127,0.3645833333333333
128,0.3229166666666667
129,0.53125
130,0.5
131,0.5729166666666666
132,0.4583333333333333
133,0.4583333333333333
134,0.4166666666666667
135,0.3958333333333333
136,0.375
137,0.3645833333333333
138,0.34375
139,0.3333333333333333
140,0.2916666666666667
141,0.4895833333333333
142,0.5208333333333334
143,0.4583333333333333
144,0.3229166666666667
145,0.17708333333333334
146,0.28125
147,0.17708333333333334
148,0.13541666666666666
149,0.19791666666666666
150,0.3020833333333333
151,0.3229166666666667
152,0.3541666666666667
153,0.3541666666666667
154,0.2916666666666667
155,0.3020833333333333
156,0.2708333333333333
157,0.2916666666666667
158,0.3229166666666667
159,0.46875
160,0.4479166666666667
161,0.46875
162,0.4270833333333333
163,0.3958333333333333
164,0.40625
165,0.3333333333333333
166,0.375
167,0.3541666666666667
168,0.3958333333333333
169,0.40625
170,0.4791666666666667
171,0.7291666666666666
172,0.6458333333333334
173,0.5729166666666666
174,0.4791666666666667
175,0.5104166666666666
176,0.4583333333333333
177,0.46875
178,0.4375
179,0.4479166666666667
180,0.3541666666666667
181,0.2916666666666667
182,0.3541666666666667
183,0.3229166666666667
184,0.3541666666666667
185,0.3333333333333333
186,0.3645833333333333
187,0.375
188,0.3645833333333333
189,0.34375
190,0.4583333333333333
191,0.3333333333333333
192,0.2708333333333333
193,0.2708333333333333
194,0.23958333333333334
195,0.4270833333333333
196,0.4375
197,0.3229166666666667
198,0.40625
199,0.3958333333333333
200,0.4270833333333333
201,0.5729166666666666
202,0.6354166666666666
203,0.5833333333333334
204,0.4270833333333333
205,0.40625
206,0.4166666666666667
207,0.3020833333333333
208,0.2708333333333333
209,0.3020833333333333
210,0.3229166666666667
211,0.34375
212,0.3125
213,0.46875
214,0.4583333333333333
215,0.4270833333333333
216,0.3229166666666667
217,0.2916666666666667
218,0.3645833333333333
219,0.59375
220,0.5625
221,0.625
222,0.2708333333333333
223,0.2708333333333333
224,0.3229166666666667
225,0.20833333333333334
226,0.22916666666666666
227,0.16666666666666666
228,0.4479166666666667
229,0.4166666666666667
230,0.3645833333333333
231,0.1875
232,0.20833333333333334
233,0.1875
234,0.4166666666666667
235,0.375
236,0.3958333333333333
237,0.28125
238,0.28125
239,0.2916666666666667
240,0.3333333333333333
241,0.3645833333333333
242,0.3854166666666667
243,0.375
244,0.3645833333333333
245,0.34375
246,0.3958333333333333
247,0.3020833333333333
248,0.3541666666666667
249,0.3125
250,0.28125
251,0.28125
252,0.4166666666666667
253,0.4479166666666667
254,0.3958333333333333
255,0.3125
256,0.34375
257,0.3229166666666667
258,0.3125
259,0.34375
260,0.28125
261,0.4166666666666667
262,0.3958333333333333
263,0.40625
264,0.1875
265,0.15625
266,0.17708333333333334
267,0.3541666666666667
268,0.40625
269,0.3541666666666667
270,0.3645833333333333
271,0.40625
272,0.4166666666666667
273,0.3125
274,0.34375
275,0.3229166666666667
276,0.3333333333333333
277,0.3333333333333333
278,0.3958333333333333
279,0.5833333333333334
280,0.4583333333333333
281,0.5
282,0.6458333333333334
283,0.6666666666666666
284,0.6770833333333334
285,0.28125
286,0.25
287,0.23958333333333334
288,0.4375
289,0.3958333333333333
290,0.4166666666666667
291,0.3125
292,0.2916666666666667
293,0.2916666666666667
