subject,Music,Early.Shortdelay,Ontime.Shortdelay,Late.Shortdelay,Early.Mediumdelay,Ontime.Mediumdelay,Late.Mediumdelay,Early.Longdelay,Ontime.Longdelay,Late.Longdelay,Early ,Ontime,Late ,ShortDelay,MediumDelay,LongDelay
s01,0,351.5069134,302.4969958,257.4822483,308.3221931,293.6732576,293.0063472,301.5842201,297.5653874,297.6758503,320.4711089,297.9118803,282.721482,303.8287192,298.3339326,298.9418193
s02,7,317.1187639,300.2443643,297.1633166,298.6776169,303.1942263,300.5464304,300.4935288,298.4633147,300.7796291,305.4299699,300.6339684,299.4964587,304.8421483,300.8060912,299.9121575
s03,14,534.8352125,295.0881918,288.6660238,305.0461509,299.0715204,297.0145175,301.2149094,299.7739208,301.3557881,380.3654242,297.9778777,295.6787765,372.8631427,300.3773963,300.7815394
s04,9,326.4018637,296.9892868,294.1633585,305.6053618,296.8588167,298.5868002,298.1699416,305.5583674,305.8061601,310.0590557,299.802157,299.5187729,305.851503,300.3503262,303.1781563
s05,4,402.9941495,322.9627939,305.7576603,311.5868094,305.3417156,304.8916338,301.158977,300.27428,301.8406462,338.5799786,309.5262631,304.1633134,343.9048679,307.2733863,301.0913011
s06,5,323.2176403,290.0292966,283.785539,303.8205034,300.5140671,293.7958758,297.3958196,296.7066224,297.7991848,308.1446544,295.7499954,291.7935332,299.0108253,299.3768154,297.3005423
s07,0,350.0460583,270.820156,293.3183559,298.854758,296.1932436,291.7664455,300.5544522,295.48989,292.5189598,316.4850895,287.5010966,292.5345871,304.7281901,295.6048157,296.1877673
s08,8,358.689374,295.6899167,286.956727,309.492899,301.0742016,300.5673696,299.2797503,296.2535455,302.9777437,322.4873411,297.6725546,296.8339468,313.7786726,303.7114901,299.5036798
s09,5,473.6964978,232.4757052,232.030745,277.446596,281.9036265,292.3378083,288.32311,291.4031795,294.287395,346.4887346,268.5941704,272.8853161,312.734316,283.8960103,291.3378948
s10,0,433.2088974,291.1304768,232.9894302,292.5117251,290.7827356,283.0236171,303.0324849,300.3420161,295.14459,342.9177024,294.0850762,270.3858791,319.1096015,288.7726926,299.5063637
s11,26,345.3137837,310.0057802,297.7117322,299.8995888,302.809505,308.0008259,308.8799063,306.2584803,301.0106448,318.0310929,306.3579218,302.2410676,317.6770987,303.5699733,305.3830105
s12,2,313.2046374,291.2232975,294.8635334,292.3567658,281.8136314,292.6038575,291.1132674,289.7802768,292.5766877,298.8915568,287.6057352,293.3480262,299.7638227,288.9247516,291.156744
s13,0,340.1790298,300.0636633,285.2465936,294.0525222,303.4904295,298.7513502,296.7959599,298.6459975,302.502655,310.342504,300.7333634,295.5001996,308.4964289,298.7647673,299.3148708
s14,6,307.0938089,300.9214801,299.5184369,300.6185463,302.2586075,299.0220671,298.0626662,298.3465375,300.5027998,301.9250071,300.5088751,299.6811013,302.511242,300.6330736,298.9706678
s15,18,359.6667245,308.2971329,289.3026857,302.2346295,294.4829967,298.995396,294.7821001,294.0011969,297.9528859,318.8944847,298.9271088,295.4169892,319.0888477,298.5710074,295.5787277
s16,25,323.9992513,296.8567152,295.3257463,300.4554737,296.8590782,289.8665761,294.8270496,295.2728165,297.4593076,306.4272582,296.3295366,294.21721,305.3939043,295.7270427,295.8530579
s17,8,376.8391645,308.3248463,296.510163,315.9256936,302.396553,303.8548364,304.4844365,306.483041,305.1996911,332.4164315,305.7348134,301.8548968,327.2247246,307.392361,305.3890562
s18,0,357.2515286,293.6499695,266.0921765,303.272925,305.314458,296.564279,297.4177564,293.7953397,296.6061219,319.31407,297.5865891,286.4208591,305.6645582,301.7172207,295.9397394
s19,5,311.0714687,278.0030079,277.8244133,303.3017736,292.8253187,301.2561433,302.5418126,301.5107333,304.8428612,305.6383516,290.7796866,294.6411393,288.9662966,299.1277452,302.9651357
s20,8,358.3333333,278.4835434,288.2055682,298.3518521,302.1558958,297.5067651,304.9360068,297.9832653,296.3885148,320.5403974,292.8742349,294.033616,308.340815,299.338171,299.7692623
s21,14,345.7379442,302.3635249,294.2505932,308.0089581,300.4960372,287.9414571,307.9209215,310.2672668,299.9434906,320.5559413,304.3756096,294.0451803,314.1173541,298.8154841,306.043893
s23,21,307.3952904,288.1491894,260.7941147,290.8996115,294.2328449,287.3098444,299.6473408,294.3277412,298.2256825,299.3140809,292.2365918,282.1098805,285.4461982,290.8141003,297.4002548
s24,19,340.840609,282.675709,279.911097,306.0056261,312.2137159,298.1827785,300.9736658,295.620243,297.9715442,315.939967,296.836556,292.0218066,301.1424717,305.4673735,298.1884843
s25,12,340.1553064,297.6350986,271.2854907,304.3288067,298.6114345,298.1862999,290.2202572,294.2964315,292.8863414,311.5681234,296.8476549,287.4527107,303.0252986,300.3755137,292.4676767
s26,0,313.8732248,294.2023492,295.6293904,300.6433817,298.8103109,299.6091038,297.3241832,296.3979765,295.385869,303.9469299,296.4702122,296.8747877,301.2349881,299.6875988,296.3693429
s27,15,334.5211797,281.5476115,254.3512967,303.8292737,298.973421,297.6239019,293.1627347,290.4878206,290.763059,310.5043961,290.3362844,280.9127525,290.1400293,300.1421989,291.4712048
s28,6,317.2032395,294.7016562,295.3135071,286.480503,290.5025581,286.1874661,298.4792372,295.4682993,289.9117582,300.7209932,293.5575045,290.4709105,302.4061342,287.7235091,294.6197649
s29,0,859.9783823,395.0760231,304.5374197,345.9088668,307.1705617,318.9112657,313.5597339,318.10261,304.4511536,506.4823277,340.1163982,309.2999463,519.8639417,323.9968981,312.0378325
s30,0,336.2611607,300.3678273,293.6585912,303.7916774,301.2768365,303.9708336,301.1407771,299.0482835,298.0727587,313.731205,300.2309824,298.5673945,310.0958597,303.0131158,299.4206064
