351.51,308.32,301.58,302.5,293.67,297.57,257.48,293.01,297.68
317.12,298.68,300.49,300.24,303.19,298.46,297.16,300.55,300.78
534.84,305.05,301.21,295.09,299.07,299.77,288.67,297.01,301.36
326.4,305.61,298.17,296.99,296.86,305.56,294.16,298.59,305.81
343.41,291.59,297.01,291.01,290.44,295.83,274.96,292.02,295.07
323.22,303.82,297.4,290.03,300.51,296.71,283.79,293.8,297.8
350.05,298.85,300.55,270.82,296.19,295.49,293.32,291.77,292.52
358.69,309.49,299.28,295.69,301.07,296.25,286.96,300.57,302.98
383.8,303.42,306.02,305.47,303.77,309.15,289.42,302.21,306.16
433.21,292.51,303.03,291.13,290.78,300.34,232.99,283.02,295.14
353.93,308.19,299.45,255.62,300.56,297.91,287.6,298.6,295.51
313.2,292.36,291.11,291.22,281.81,289.78,294.86,292.6,292.58
340.18,294.05,296.8,300.06,303.49,298.65,285.25,298.75,302.5
307.09,300.62,298.06,300.92,302.26,298.35,299.52,299.02,300.5
359.67,302.23,294.78,308.3,294.48,294,289.3,299,297.95
324,300.46,294.83,296.86,296.86,295.27,295.33,289.87,297.46
318.97,299.61,303.85,290.77,305.75,301.05,288.56,308.81,305.23
357.25,303.27,297.42,293.65,305.31,293.8,266.09,296.56,296.61
311.07,303.3,302.54,278,292.83,301.51,277.82,301.26,304.84
358.33,298.35,304.94,278.48,302.16,297.98,288.21,297.51,296.39
345.74,308.01,307.92,302.36,300.5,310.27,294.25,287.94,299.94
384.19,299.25,301.1,293.98,304.71,298.75,245.15,299.21,299.57
307.4,290.9,299.65,288.15,294.23,294.33,260.79,287.31,298.23
340.84,306.01,300.97,282.68,312.21,295.62,279.91,298.18,297.97
340.16,304.33,290.22,297.64,298.61,294.3,271.29,298.19,292.89
313.87,300.64,297.32,294.2,298.81,296.4,295.63,299.61,295.39
334.52,303.83,293.16,281.55,298.97,290.49,254.35,297.62,290.76
317.2,286.48,298.48,294.7,290.5,295.47,295.31,286.19,289.91
340.35,308.19,304.77,302,298.12,304.8,270.04,299.23,297.38
336.26,303.79,301.14,300.37,301.28,299.05,293.66,303.97,298.07
325.46,306.21,299.29,312.04,304.82,304.85,309.69,299.01,300
346.02,303.25,300.99,304.34,302.84,303.2,302.31,300,306.9
334.79,303.21,300.94,300,298.35,298.98,286.93,299.14,300.05
328.07,300.22,298.43,299.51,298.31,300.22,290.68,296.48,296.09
362.36,299.8,304.5,301.36,300.88,303.16,293.21,298.38,299.19
329.42,302.15,296.86,298.49,295.83,295.02,284.71,297.22,295.26
344.26,298.16,293.63,263.23,291.31,289.31,275.46,292.1,291.36
318.47,292.03,289.64,294.59,288.32,292.65,289.84,289.77,291.61
328.42,306.02,303.49,301.84,302.54,302.77,298.76,299.27,300.6
365.12,288.19,288.5,281.12,294.34,292.09,241.84,286.44,292.92
446.94,296.75,299.42,301.41,297.01,300.27,289.73,296.75,300.81
334.74,306.57,301.54,303.25,306.39,303.88,297.98,302.31,304.57
313.4,297.78,298.02,296.43,295.11,295.73,289.77,295.93,296.25
347.76,306.81,302.48,300,306.18,300.58,300.74,307.26,301.72
441.24,300.79,299.2,301.15,303.11,302.84,268.33,299.28,299.04
429.78,305.74,303.24,302.8,302.15,299.71,290.94,303.58,301.42
304.06,305.96,305.15,267.94,299.03,302.78,291.31,292.29,304.57
347.09,298.49,301.94,297.76,298.14,297.68,293.01,299.05,299.51
