"","participant_id","sub_id","exp","Onset","Length","Shorter","Correct","rLength","fOnset","Explabel","fOnsetE"
"37","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",3,0,0,-0.654645188925333,"ontime","EXP10b","ontime"
"38","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",3,1,0,-0.654645188925333,"early","EXP10b","early"
"39","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",2,1,0,-1.09107531487555,"early","EXP10b","early"
"40","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",4,1,0,-0.218215062975111,"ontime","EXP10b","ontime"
"41","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",8,0,0,1.52750544082578,"late","EXP10b","late"
"42","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",4,1,0,-0.218215062975111,"late","EXP10b","late"
"43","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",8,0,0,1.52750544082578,"ontime","EXP10b","ontime"
"44","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",5,1,0,0.218215062975111,"early","EXP10b","early"
"45","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",4,1,0,-0.218215062975111,"early","EXP10b","early"
"46","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",6,0,0,0.654645188925333,"ontime","EXP10b","ontime"
"47","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",2,1,0,-1.09107531487555,"ontime","EXP10b","ontime"
"48","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",3,1,0,-0.654645188925333,"late","EXP10b","late"
"49","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",2,1,0,-1.09107531487555,"early","EXP10b","early"
"50","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",1,1,0,-1.52750544082578,"ontime","EXP10b","ontime"
"51","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",2,1,0,-1.09107531487555,"ontime","EXP10b","ontime"
"52","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",4,0,0,-0.218215062975111,"late","EXP10b","late"
