subject,Early.Shortdelay,Ontime.Shortdelay,Late.Shortdelay,Early.Mediumdelay,Ontime.Mediumdelay,Late.Mediumdelay,Early.Longdelay,Ontime.Longdelay,Late.Longdelay,Early ,Ontime,Late ,ShortDelay,MediumDelay,LongDelay
s34,0.805555556,0.472222222,0.319444444,0.5,0.458333333,0.416666667,0.472222222,0.5,0.416666667,0.592592593,0.476851852,0.384259259,0.532407407,0.458333333,0.462962963
s35,0.888888889,0.513888889,0.416666667,0.5,0.5,0.472222222,0.555555556,0.555555556,0.486111111,0.648148148,0.523148148,0.458333333,0.606481481,0.490740741,0.532407407
s36,0.819444444,0.472222222,0.277777778,0.541666667,0.402777778,0.430555556,0.430555556,0.402777778,0.388888889,0.597222222,0.425925926,0.365740741,0.523148148,0.458333333,0.407407407
s37,0.875,0.166666667,0.194444444,0.458333333,0.333333333,0.347222222,0.402777778,0.375,0.361111111,0.578703704,0.291666667,0.300925926,0.412037037,0.37962963,0.37962963
s38,0.722222222,0.402777778,0.319444444,0.333333333,0.277777778,0.305555556,0.305555556,0.361111111,0.333333333,0.453703704,0.347222222,0.319444444,0.481481481,0.305555556,0.333333333
s39,0.819444444,0.527777778,0.472222222,0.625,0.541666667,0.486111111,0.569444444,0.569444444,0.513888889,0.671296296,0.546296296,0.490740741,0.606481481,0.550925926,0.550925926
s40,0.819444444,0.333333333,0.180555556,0.333333333,0.388888889,0.305555556,0.291666667,0.347222222,0.361111111,0.481481481,0.356481481,0.282407407,0.444444444,0.342592593,0.333333333
s41,0.972222222,0.513888889,0.305555556,0.416666667,0.430555556,0.416666667,0.486111111,0.5,0.513888889,0.625,0.481481481,0.412037037,0.597222222,0.421296296,0.5
s42,0.861111111,0.541666667,0.444444444,0.638888889,0.638888889,0.569444444,0.527777778,0.597222222,0.569444444,0.675925926,0.592592593,0.527777778,0.615740741,0.615740741,0.564814815
s43,0.708333333,0.430555556,0.319444444,0.458333333,0.402777778,0.402777778,0.458333333,0.402777778,0.416666667,0.541666667,0.412037037,0.37962963,0.486111111,0.421296296,0.425925926
s44,0.902777778,0.5,0.513888889,0.625,0.597222222,0.611111111,0.541666667,0.513888889,0.541666667,0.689814815,0.537037037,0.555555556,0.638888889,0.611111111,0.532407407
s45,0.944444444,0.513888889,0.152777778,0.513888889,0.569444444,0.486111111,0.472222222,0.541666667,0.486111111,0.643518519,0.541666667,0.375,0.537037037,0.523148148,0.5
s46,0.958333333,0.527777778,0.347222222,0.583333333,0.527777778,0.555555556,0.555555556,0.486111111,0.527777778,0.699074074,0.513888889,0.476851852,0.611111111,0.555555556,0.523148148
s47,0.541666667,0.291666667,0.361111111,0.541666667,0.486111111,0.430555556,0.569444444,0.555555556,0.555555556,0.550925926,0.444444444,0.449074074,0.398148148,0.486111111,0.560185185
s48,0.875,0.444444444,0.347222222,0.472222222,0.472222222,0.472222222,0.527777778,0.458333333,0.486111111,0.625,0.458333333,0.435185185,0.555555556,0.472222222,0.490740741
