branch_failpass,expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,session_start_time,stimuli_presented,trial_duration,trial_num,trial_template
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,324,[],choice-response,Lab,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,2329,16,EXP8c_PretestTrials_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,178,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,short_tone_1,1289,17,EXP8c_PretestTrials_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,425,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,short_tone_1,4005,18,EXP8c_PretestTrials_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,612,[],choice-response,Lab,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,1905,19,EXP8c_PretestTrials_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,318,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,short_tone_1,1860,20,EXP8c_PretestTrials_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,334,[],choice-response,Lab,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,1797,21,EXP8c_PretestTrials_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,520,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,short_tone_1,3332,22,EXP8c_PretestTrials_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,272,[],choice-response,Lab,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,2461,23,EXP8c_PretestTrials_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,525,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,2090,24,EXP8c_PretestTrials_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,358,[],choice-response,Lab,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,short_tone_1,1668,25,EXP8c_PretestTrials_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,532,[],choice-response,Lab,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,short_tone_1,1690,26,EXP8c_PretestTrials_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,771,[],choice-response,Lab,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,3037,27,EXP8c_PretestTrials_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,397,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,short_tone_1,4525,28,EXP8c_PretestTrials_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,812,[],choice-response,Lab,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,2102,29,EXP8c_PretestTrials_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,350,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,3495,30,EXP8c_PretestTrials_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,404,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,short_tone_1,1511,31,EXP8c_PretestTrials_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,384,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,short_tone_1,1494,32,EXP8c_PretestTrials_s
